Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ADSK.MX,5085.0,2022/01/31,10:22 CST,0.0,0.0,5085.0,5085.0,271,,,,,,,
AMXA.MX,19.0,2022/01/28,08:52 CST,0.0,0.0,19.0,19.0,216,,,,,,,
AMXL.MX,19.39,2022/02/01,11:48 CST,-0.020000458,19.47,19.5,19.27,20221383,,,,,,,
ATVI.MX,1629.6,2022/02/01,11:38 CST,1.5999756,1630.0,1632.91,1621.97,198,,,,,,,
ACOFN.MX,1204.43,2022/02/01,10:02 CST,-55.059937,1204.43,1204.43,1204.43,220,,,,,,,
AIN.MX,3497.93,2022/01/28,11:10 CST,0.0,0.0,3497.93,3497.93,0,,,,,,,
ADI.MX,3233.0,2022/01/27,13:44 CST,0.0,0.0,3233.0,3233.0,0,,,,,,,
AIRN.MX,2631.32,2022/02/01,09:25 CST,-48.03003,2631.32,2631.32,2631.32,173,,,,,,,
ABNB.MX,3215.0,2022/02/01,11:02 CST,90.0,3180.0,3251.09,3180.0,794,,,,,,,
ANTM.MX,8928.26,2022/01/26,10:11 CST,0.0,0.0,8928.26,8928.26,0,,,,,,,
AMT.MX,5132.04,2022/02/01,09:16 CST,116.04004,5132.04,5132.04,5132.04,280,,,,,,,
AME.MX,2803.02,2022/02/01,10:50 CST,49.02002,2803.02,2803.02,2803.02,300,,,,,,,
AMP.MX,6150.0,2022/01/25,14:54 CST,0.0,0.0,6150.0,6150.0,0,,,,,,,
ANET.MX,2460.0,2022/01/28,10:27 CST,0.0,0.0,2460.0,2460.0,0,,,,,,,
ALGN.MX,10288.0,2022/02/01,09:06 CST,408.0,10288.0,10288.0,10288.0,6,,,,,,,
ABEVN.MX,57.49,2022/01/31,09:08 CST,0.0,0.0,57.49,57.49,0,,,,,,,
APH.MX,1629.2,2022/02/01,10:52 CST,-154.89001,1629.2,1629.2,1629.2,433,,,,,,,
AIG.MX,1175.24,2022/01/28,11:01 CST,0.0,0.0,1175.24,1175.24,0,,,,,,,
ALLY1.MX,978.0,2022/01/31,13:16 CST,0.0,0.0,978.0,978.0,0,,,,,,,
AKAM.MX,2330.0,2022/01/25,14:32 CST,-9.830078,0.0,2330.0,2330.0,0,,,,,,,
AFRM.MX,1366.0,2022/02/01,11:46 CST,56.0,1321.0,1385.01,1321.0,25980,,,,,,,
ALB.MX,4500.0,2022/01/31,11:35 CST,0.0,0.0,4500.0,4500.0,0,,,,,,,
AMSN.MX,1375.08,2022/01/28,10:01 CST,-0.4300537,0.0,1375.08,1375.08,0,,,,,,,
ANSS.MX,6783.5,2022/01/26,13:11 CST,0.0,0.0,6783.5,6783.5,0,,,,,,,
0QBON.MX,2986.14,2022/01/26,10:02 CST,0.0,0.0,2986.14,2986.14,0,,,,,,,
